                A Homogeneous Main-Sequence Model

 
 The surface conditions are:          The central conditions are:

 Mtot =      0.750000 Msun            Mc/Mtot     =  3.33944E-03
 Rtot =      1.008439 Rsun            Rc/Rtot     =  6.00000E-03
 Ltot =      0.189000 Lsun            Lc/Ltot     =  1.86845E-01
 Teff =   3788.500000 K               Density     =  0.00000E+00 g/cm**3
 X    =      0.700000                 Temperature =  0.00000E+00 K
 Y    =      0.292000                 Pressure    =  0.00000E+00 dynes/cm**2
 Z    =      0.008000                 epsilon     =  2.82053-312 ergs/s/g
                                      dlnP/dlnT   =  2.48897E+00


 
 Notes: 
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =  1.491750E+33 g
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9; if so it is labeled by *


      r       Qm       L_r       T        P       rho      kap      eps   dlPdlT
  4.21E+08 9.97E-01 1.35E+32 1.32E+07 1.48E+17 8.35E+01 1.72E+00 1.28E+01 c  2.5
  1.12E+09 9.96E-01 1.38E+32 1.17E+07 1.09E+17 6.93E+01 2.15E+00 6.10E+00 c  2.5
  1.82E+09 9.96E-01 1.45E+32 1.13E+07 9.95E+16 6.58E+01 2.29E+00 4.96E+00 c  2.5
  2.53E+09 9.94E-01 1.58E+32 1.11E+07 9.44E+16 6.38E+01 2.39E+00 4.37E+00 c  2.5
  3.23E+09 9.91E-01 1.77E+32 1.09E+07 9.03E+16 6.21E+01 2.47E+00 3.93E+00 c  2.5
  3.93E+09 9.86E-01 2.02E+32 1.07E+07 8.64E+16 6.05E+01 2.55E+00 3.53E+00 c  2.5
  4.63E+09 9.79E-01 2.35E+32 1.05E+07 8.25E+16 5.88E+01 2.64E+00 3.16E+00 c  2.5
  5.33E+09 9.71E-01 2.72E+32 1.03E+07 7.85E+16 5.71E+01 2.74E+00 2.80E+00 c  2.5
  6.04E+09 9.60E-01 3.14E+32 1.00E+07 7.44E+16 5.53E+01 2.86E+00 2.45E+00 c  2.4
  6.74E+09 9.47E-01 3.59E+32 9.80E+06 7.01E+16 5.34E+01 3.00E+00 2.11E+00 r  2.5
  7.44E+09 9.32E-01 4.04E+32 9.55E+06 6.57E+16 5.14E+01 3.16E+00 1.80E+00 r  2.6
  8.14E+09 9.13E-01 4.49E+32 9.30E+06 6.12E+16 4.92E+01 3.32E+00 1.52E+00 r  2.7
  8.84E+09 8.93E-01 4.91E+32 9.04E+06 5.68E+16 4.69E+01 3.49E+00 1.27E+00 r  2.8
  9.55E+09 8.70E-01 5.30E+32 8.79E+06 5.23E+16 4.44E+01 3.66E+00 1.05E+00 r  2.9
  1.02E+10 8.45E-01 5.66E+32 8.53E+06 4.79E+16 4.20E+01 3.84E+00 8.54E-01 r  3.0
  1.09E+10 8.18E-01 5.97E+32 8.27E+06 4.37E+16 3.94E+01 4.04E+00 6.90E-01 r  3.1
  1.17E+10 7.89E-01 6.23E+32 8.01E+06 3.96E+16 3.69E+01 4.23E+00 5.51E-01 r  3.2
  1.24E+10 7.59E-01 6.45E+32 7.75E+06 3.57E+16 3.44E+01 4.44E+00 4.36E-01 r  3.3
  1.31E+10 7.27E-01 6.64E+32 7.50E+06 3.20E+16 3.19E+01 4.65E+00 3.41E-01 r  3.3
  1.38E+10 6.95E-01 6.78E+32 7.25E+06 2.86E+16 2.94E+01 4.87E+00 2.64E-01 r  3.4
  1.45E+10 6.62E-01 6.90E+32 7.00E+06 2.54E+16 2.71E+01 5.09E+00 2.03E-01 r  3.5
  1.52E+10 6.28E-01 6.99E+32 6.76E+06 2.24E+16 2.48E+01 5.31E+00 1.54E-01 r  3.6
  1.59E+10 5.94E-01 7.05E+32 6.52E+06 1.98E+16 2.26E+01 5.54E+00 1.16E-01 r  3.6
  1.66E+10 5.61E-01 7.10E+32 6.29E+06 1.73E+16 2.06E+01 5.77E+00 8.70E-02 r  3.7
  1.73E+10 5.28E-01 7.14E+32 6.07E+06 1.52E+16 1.87E+01 6.00E+00 6.45E-02 r  3.8
  1.80E+10 4.95E-01 7.17E+32 5.85E+06 1.32E+16 1.69E+01 6.23E+00 4.75E-02 r  3.8
  1.87E+10 4.63E-01 7.19E+32 5.64E+06 1.15E+16 1.52E+01 6.47E+00 3.47E-02 r  3.9
  1.94E+10 4.33E-01 7.20E+32 5.43E+06 9.93E+15 1.37E+01 6.70E+00 2.52E-02 r  3.9
  2.01E+10 4.03E-01 7.21E+32 5.23E+06 8.58E+15 1.22E+01 6.93E+00 1.82E-02 r  4.0
  2.08E+10 3.74E-01 7.22E+32 5.04E+06 7.39E+15 1.10E+01 7.16E+00 1.30E-02 r  4.0
  2.15E+10 3.47E-01 7.22E+32 4.85E+06 6.35E+15 9.78E+00 7.40E+00 9.29E-03 r  4.1
  2.22E+10 3.21E-01 7.23E+32 4.67E+06 5.45E+15 8.72E+00 7.63E+00 6.58E-03 r  4.1
  2.29E+10 2.96E-01 7.23E+32 4.50E+06 4.67E+15 7.75E+00 7.86E+00 4.64E-03 r  4.1
  2.36E+10 2.73E-01 7.23E+32 4.33E+06 3.99E+15 6.88E+00 8.09E+00 3.25E-03 r  4.2
  2.43E+10 2.51E-01 7.23E+32 4.17E+06 3.41E+15 6.10E+00 8.32E+00 2.27E-03 r  4.2
  2.50E+10 2.30E-01 7.23E+32 4.01E+06 2.90E+15 5.41E+00 8.55E+00 1.57E-03 r  4.2
  2.57E+10 2.11E-01 7.23E+32 3.86E+06 2.47E+15 4.78E+00 8.78E+00 1.08E-03 r  4.2
  2.64E+10 1.93E-01 7.23E+32 3.72E+06 2.10E+15 4.22E+00 9.01E+00 7.45E-04 r  4.3
  2.71E+10 1.76E-01 7.23E+32 3.58E+06 1.79E+15 3.73E+00 9.24E+00 5.09E-04 r  4.3
  2.78E+10 1.61E-01 7.23E+32 3.44E+06 1.52E+15 3.29E+00 9.47E+00 3.46E-04 r  4.3
  2.85E+10 1.46E-01 7.23E+32 3.31E+06 1.29E+15 2.90E+00 9.70E+00 2.35E-04 r  4.3
  2.92E+10 1.33E-01 7.23E+32 3.19E+06 1.09E+15 2.55E+00 9.94E+00 1.58E-04 r  4.3
  2.99E+10 1.20E-01 7.23E+32 3.07E+06 9.21E+14 2.24E+00 1.02E+01 1.06E-04 r  4.4
  3.06E+10 1.09E-01 7.23E+32 2.95E+06 7.79E+14 1.97E+00 1.04E+01 7.07E-05 r  4.4
  3.13E+10 9.86E-02 7.23E+32 2.84E+06 6.58E+14 1.73E+00 1.07E+01 4.69E-05 r  4.4
  3.20E+10 8.90E-02 7.23E+32 2.73E+06 5.56E+14 1.52E+00 1.09E+01 3.10E-05 r  4.4
  3.27E+10 8.02E-02 7.23E+32 2.63E+06 4.69E+14 1.33E+00 1.11E+01 2.04E-05 r  4.4
  3.34E+10 7.21E-02 7.23E+32 2.53E+06 3.95E+14 1.17E+00 1.14E+01 1.33E-05 r  4.4
  3.41E+10 6.48E-02 7.23E+32 2.43E+06 3.33E+14 1.02E+00 1.17E+01 8.65E-06 r  4.4
  3.48E+10 5.81E-02 7.23E+32 2.34E+06 2.80E+14 8.93E-01 1.19E+01 5.59E-06 r  4.4
  3.55E+10 5.20E-02 7.23E+32 2.25E+06 2.35E+14 7.81E-01 1.22E+01 3.59E-06 r  4.5
  3.62E+10 4.64E-02 7.23E+32 2.17E+06 1.98E+14 6.82E-01 1.24E+01 2.29E-06 r  4.5
