                A Homogeneous Main-Sequence Model

 
 The surface conditions are:          The central conditions are:

 Mtot =      1.000000 Msun            Mc/Mtot     = -1.55336E-03
 Rtot =      0.989686 Rsun            Rc/Rtot     =  3.40000E-02
 Ltot =      1.000000 Lsun            Lc/Ltot     =  4.91427E-01
 Teff =   5800.000000 K               Density     =  0.00000E+00 g/cm**3
 X    =      0.750000                 Temperature =  0.00000E+00 K
 Y    =      0.248000                 Pressure    =  0.00000E+00 dynes/cm**2
 Z    =      0.002000                 epsilon     =  0.00000E+00 ergs/s/g
                                      dlnP/dlnT   =  2.49927E+00

 
 
 Notes: 
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =  1.989000E+33 g
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9; if so it is labeled by *


      r       Qm       L_r       T        P       rho      kap      eps   dlPdlT
  2.34E+09 1.00E+00 1.88E+33 1.24E+07 1.03E+17 5.94E+01 1.10E+00 7.81E+00 c  2.5
  3.03E+09 1.00E+00 1.91E+33 1.24E+07 1.03E+17 5.96E+01 1.10E+00 7.92E+00 c  2.5
  3.72E+09 9.97E-01 1.96E+33 1.24E+07 1.03E+17 5.94E+01 1.10E+00 7.78E+00 c  2.5
  4.41E+09 9.92E-01 2.02E+33 1.23E+07 1.01E+17 5.88E+01 1.12E+00 7.48E+00 c  2.5
  5.10E+09 9.87E-01 2.10E+33 1.22E+07 9.85E+16 5.79E+01 1.13E+00 7.06E+00 c  2.5
  5.79E+09 9.79E-01 2.20E+33 1.21E+07 9.55E+16 5.69E+01 1.15E+00 6.57E+00 c  2.5
  6.47E+09 9.70E-01 2.32E+33 1.19E+07 9.21E+16 5.56E+01 1.18E+00 6.03E+00 c  2.5
  7.16E+09 9.59E-01 2.45E+33 1.17E+07 8.83E+16 5.43E+01 1.21E+00 5.45E+00 c  2.5
  7.85E+09 9.46E-01 2.58E+33 1.15E+07 8.42E+16 5.27E+01 1.24E+00 4.87E+00 c  2.5
  8.54E+09 9.31E-01 2.72E+33 1.12E+07 7.98E+16 5.11E+01 1.28E+00 4.29E+00 c  2.5
  9.23E+09 9.13E-01 2.86E+33 1.10E+07 7.53E+16 4.93E+01 1.33E+00 3.74E+00 c  2.5
  9.92E+09 8.94E-01 2.99E+33 1.07E+07 7.07E+16 4.75E+01 1.38E+00 3.21E+00 c  2.5
  1.06E+10 8.73E-01 3.11E+33 1.04E+07 6.60E+16 4.56E+01 1.44E+00 2.71E+00 r  2.6
  1.13E+10 8.49E-01 3.23E+33 1.01E+07 6.13E+16 4.36E+01 1.51E+00 2.27E+00 r  2.7
  1.20E+10 8.24E-01 3.33E+33 9.81E+06 5.66E+16 4.14E+01 1.57E+00 1.89E+00 r  2.8
  1.27E+10 7.98E-01 3.42E+33 9.52E+06 5.20E+16 3.92E+01 1.64E+00 1.55E+00 r  2.9
  1.34E+10 7.70E-01 3.50E+33 9.24E+06 4.76E+16 3.70E+01 1.70E+00 1.27E+00 r  3.0
  1.41E+10 7.40E-01 3.57E+33 8.95E+06 4.33E+16 3.47E+01 1.77E+00 1.03E+00 r  3.1
  1.47E+10 7.10E-01 3.63E+33 8.67E+06 3.92E+16 3.25E+01 1.84E+00 8.24E-01 r  3.2
  1.54E+10 6.79E-01 3.67E+33 8.40E+06 3.54E+16 3.03E+01 1.91E+00 6.56E-01 r  3.3
  1.61E+10 6.47E-01 3.71E+33 8.13E+06 3.18E+16 2.81E+01 1.98E+00 5.17E-01 r  3.4
  1.68E+10 6.15E-01 3.74E+33 7.86E+06 2.84E+16 2.60E+01 2.05E+00 4.05E-01 r  3.4
  1.75E+10 5.84E-01 3.76E+33 7.60E+06 2.53E+16 2.39E+01 2.13E+00 3.14E-01 r  3.5
  1.82E+10 5.52E-01 3.78E+33 7.34E+06 2.25E+16 2.20E+01 2.20E+00 2.42E-01 r  3.6
  1.89E+10 5.20E-01 3.79E+33 7.10E+06 1.99E+16 2.01E+01 2.27E+00 1.85E-01 r  3.6
  1.96E+10 4.90E-01 3.80E+33 6.85E+06 1.75E+16 1.84E+01 2.34E+00 1.41E-01 r  3.7
  2.03E+10 4.59E-01 3.81E+33 6.62E+06 1.54E+16 1.67E+01 2.41E+00 1.06E-01 r  3.7
  2.09E+10 4.30E-01 3.81E+33 6.39E+06 1.35E+16 1.52E+01 2.47E+00 7.97E-02 r  3.8
  2.16E+10 4.01E-01 3.82E+33 6.16E+06 1.18E+16 1.37E+01 2.54E+00 5.94E-02 r  3.8
  2.23E+10 3.74E-01 3.82E+33 5.94E+06 1.03E+16 1.24E+01 2.61E+00 4.39E-02 r  3.9
  2.30E+10 3.48E-01 3.82E+33 5.73E+06 8.92E+15 1.12E+01 2.68E+00 3.23E-02 r  3.9
  2.37E+10 3.23E-01 3.82E+33 5.53E+06 7.74E+15 1.01E+01 2.74E+00 2.36E-02 r  4.0
  2.44E+10 2.99E-01 3.82E+33 5.33E+06 6.70E+15 9.03E+00 2.81E+00 1.72E-02 r  4.0
  2.51E+10 2.76E-01 3.82E+33 5.14E+06 5.79E+15 8.09E+00 2.87E+00 1.24E-02 r  4.0
  2.58E+10 2.54E-01 3.83E+33 4.95E+06 4.99E+15 7.24E+00 2.94E+00 8.93E-03 r  4.0
  2.65E+10 2.34E-01 3.83E+33 4.77E+06 4.30E+15 6.47E+00 3.00E+00 6.39E-03 r  4.1
  2.71E+10 2.15E-01 3.83E+33 4.60E+06 3.69E+15 5.77E+00 3.07E+00 4.54E-03 r  4.1
  2.78E+10 1.97E-01 3.83E+33 4.43E+06 3.17E+15 5.14E+00 3.13E+00 3.21E-03 r  4.1
  2.85E+10 1.80E-01 3.83E+33 4.27E+06 2.72E+15 4.57E+00 3.19E+00 2.26E-03 r  4.1
  2.92E+10 1.65E-01 3.83E+33 4.11E+06 2.32E+15 4.06E+00 3.25E+00 1.58E-03 r  4.2
  2.99E+10 1.50E-01 3.83E+33 3.96E+06 1.99E+15 3.60E+00 3.31E+00 1.10E-03 r  4.2
  3.06E+10 1.37E-01 3.83E+33 3.81E+06 1.70E+15 3.20E+00 3.38E+00 7.64E-04 r  4.2
  3.13E+10 1.24E-01 3.83E+33 3.67E+06 1.45E+15 2.83E+00 3.44E+00 5.26E-04 r  4.2
  3.20E+10 1.13E-01 3.83E+33 3.53E+06 1.23E+15 2.50E+00 3.50E+00 3.60E-04 r  4.2
  3.26E+10 1.02E-01 3.83E+33 3.40E+06 1.05E+15 2.21E+00 3.56E+00 2.45E-04 r  4.3
  3.33E+10 9.20E-02 3.83E+33 3.27E+06 8.89E+14 1.95E+00 3.62E+00 1.66E-04 r  4.3
  3.40E+10 8.30E-02 3.83E+33 3.15E+06 7.54E+14 1.72E+00 3.69E+00 1.12E-04 r  4.3
