                A Homogeneous Main-Sequence Model

 
 The surface conditions are:          The central conditions are:

 Mtot =      1.500000 Msun            Mc/Mtot     = -6.02913E-04
 Rtot =      1.240758 Rsun            Rc/Rtot     =  1.68000E-01
 Ltot =      1.800000 Lsun            Lc/Ltot     =  9.20677E-01
 Teff =   6000.000000 K               Density     =  0.00000E+00 g/cm**3
 X    =      0.700000                 Temperature =  0.00000E+00 K
 Y    =      0.292000                 Pressure    =  0.00000E+00 dynes/cm**2
 Z    =      0.008000                 epsilon     =  0.00000E+00 ergs/s/g
                                      dlnP/dlnT   =  2.49812E+00


 
 Notes: 
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =  2.983500E+33 g
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9; if so it is labeled by *


      r       Qm       L_r       T        P       rho      kap      eps   dlPdlT
  1.45E+10 1.00E+00 6.34E+33 9.54E+06 2.90E+16 2.27E+01 1.72E+00 7.81E-01 c  2.5
  1.54E+10 9.82E-01 6.38E+33 9.52E+06 2.89E+16 2.26E+01 1.73E+00 7.72E-01 c  2.5
  1.62E+10 9.62E-01 6.43E+33 9.46E+06 2.84E+16 2.24E+01 1.75E+00 7.44E-01 c  2.5
  1.71E+10 9.39E-01 6.48E+33 9.37E+06 2.78E+16 2.21E+01 1.78E+00 7.00E-01 c  2.5
  1.80E+10 9.15E-01 6.53E+33 9.25E+06 2.69E+16 2.17E+01 1.82E+00 6.45E-01 c  2.5
  1.88E+10 8.88E-01 6.58E+33 9.10E+06 2.58E+16 2.12E+01 1.87E+00 5.83E-01 c  2.5
  1.97E+10 8.60E-01 6.62E+33 8.92E+06 2.46E+16 2.06E+01 1.94E+00 5.16E-01 c  2.5
  2.06E+10 8.30E-01 6.66E+33 8.73E+06 2.33E+16 1.99E+01 2.02E+00 4.49E-01 c  2.5
  2.14E+10 7.99E-01 6.70E+33 8.51E+06 2.18E+16 1.92E+01 2.11E+00 3.82E-01 r  2.7
  2.23E+10 7.67E-01 6.74E+33 8.29E+06 2.04E+16 1.83E+01 2.21E+00 3.22E-01 r  2.8
  2.31E+10 7.33E-01 6.77E+33 8.07E+06 1.89E+16 1.75E+01 2.31E+00 2.69E-01 r  3.0
  2.40E+10 6.99E-01 6.79E+33 7.85E+06 1.74E+16 1.65E+01 2.40E+00 2.21E-01 r  3.1
  2.49E+10 6.64E-01 6.81E+33 7.63E+06 1.59E+16 1.56E+01 2.50E+00 1.81E-01 r  3.2
  2.57E+10 6.29E-01 6.83E+33 7.42E+06 1.45E+16 1.46E+01 2.60E+00 1.46E-01 r  3.4
  2.66E+10 5.94E-01 6.84E+33 7.20E+06 1.31E+16 1.36E+01 2.70E+00 1.17E-01 r  3.5
  2.75E+10 5.59E-01 6.85E+33 6.98E+06 1.18E+16 1.26E+01 2.80E+00 9.24E-02 r  3.5
  2.83E+10 5.24E-01 6.86E+33 6.77E+06 1.06E+16 1.17E+01 2.90E+00 7.24E-02 r  3.6
  2.92E+10 4.91E-01 6.87E+33 6.56E+06 9.43E+15 1.07E+01 3.00E+00 5.63E-02 r  3.7
  3.01E+10 4.58E-01 6.87E+33 6.35E+06 8.37E+15 9.84E+00 3.10E+00 4.34E-02 r  3.8
  3.09E+10 4.26E-01 6.88E+33 6.15E+06 7.40E+15 8.99E+00 3.20E+00 3.31E-02 r  3.8
  3.18E+10 3.96E-01 6.88E+33 5.95E+06 6.52E+15 8.18E+00 3.30E+00 2.51E-02 r  3.9
  3.26E+10 3.66E-01 6.88E+33 5.75E+06 5.72E+15 7.42E+00 3.40E+00 1.89E-02 r  4.0
  3.35E+10 3.38E-01 6.88E+33 5.56E+06 5.00E+15 6.71E+00 3.49E+00 1.41E-02 r  4.0
  3.44E+10 3.11E-01 6.88E+33 5.37E+06 4.36E+15 6.05E+00 3.59E+00 1.04E-02 r  4.1
  3.52E+10 2.86E-01 6.89E+33 5.19E+06 3.78E+15 5.44E+00 3.69E+00 7.64E-03 r  4.1
  3.61E+10 2.62E-01 6.89E+33 5.01E+06 3.28E+15 4.88E+00 3.79E+00 5.57E-03 r  4.1
  3.70E+10 2.40E-01 6.89E+33 4.84E+06 2.83E+15 4.37E+00 3.89E+00 4.03E-03 r  4.2
  3.78E+10 2.19E-01 6.89E+33 4.67E+06 2.44E+15 3.90E+00 3.99E+00 2.90E-03 r  4.2
  3.87E+10 1.99E-01 6.89E+33 4.50E+06 2.10E+15 3.48E+00 4.09E+00 2.07E-03 r  4.2
  3.96E+10 1.81E-01 6.89E+33 4.34E+06 1.80E+15 3.09E+00 4.19E+00 1.47E-03 r  4.3
  4.04E+10 1.64E-01 6.89E+33 4.19E+06 1.54E+15 2.75E+00 4.29E+00 1.03E-03 r  4.3
  4.13E+10 1.48E-01 6.89E+33 4.03E+06 1.31E+15 2.43E+00 4.39E+00 7.24E-04 r  4.3
  4.21E+10 1.34E-01 6.89E+33 3.89E+06 1.12E+15 2.15E+00 4.49E+00 5.03E-04 r  4.3
  4.30E+10 1.20E-01 6.89E+33 3.74E+06 9.52E+14 1.90E+00 4.60E+00 3.47E-04 r  4.3
  4.39E+10 1.08E-01 6.89E+33 3.60E+06 8.08E+14 1.67E+00 4.70E+00 2.38E-04 r  4.4
  4.47E+10 9.70E-02 6.89E+33 3.47E+06 6.85E+14 1.47E+00 4.81E+00 1.62E-04 r  4.4
  4.56E+10 8.67E-02 6.89E+33 3.34E+06 5.79E+14 1.29E+00 4.92E+00 1.09E-04 r  4.4
  4.65E+10 7.74E-02 6.89E+33 3.21E+06 4.89E+14 1.14E+00 5.03E+00 7.33E-05 r  4.4
  4.73E+10 6.89E-02 6.89E+33 3.09E+06 4.12E+14 9.94E-01 5.14E+00 4.88E-05 r  4.4
  4.82E+10 6.12E-02 6.89E+33 2.97E+06 3.46E+14 8.69E-01 5.25E+00 3.22E-05 r  4.4
  4.90E+10 5.42E-02 6.89E+33 2.86E+06 2.90E+14 7.59E-01 5.37E+00 2.11E-05 r  4.4
  4.99E+10 4.79E-02 6.89E+33 2.74E+06 2.43E+14 6.61E-01 5.49E+00 1.37E-05 r  4.5
  5.08E+10 4.22E-02 6.89E+33 2.64E+06 2.03E+14 5.75E-01 5.61E+00 8.81E-06 r  4.5
  5.16E+10 3.71E-02 6.89E+33 2.53E+06 1.69E+14 4.99E-01 5.74E+00 5.62E-06 r  4.5
  5.25E+10 3.25E-02 6.89E+33 2.43E+06 1.41E+14 4.33E-01 5.87E+00 3.55E-06 r  4.5
  5.34E+10 2.84E-02 6.89E+33 2.33E+06 1.17E+14 3.74E-01 6.00E+00 2.21E-06 r  4.5
  5.42E+10 2.47E-02 6.89E+33 2.23E+06 9.66E+13 3.23E-01 6.14E+00 1.37E-06 r  4.5
  5.51E+10 2.15E-02 6.89E+33 2.14E+06 7.97E+13 2.78E-01 6.28E+00 8.36E-07 r  4.5
  5.60E+10 1.86E-02 6.89E+33 2.05E+06 6.56E+13 2.39E-01 6.42E+00 5.04E-07 r  4.5
  5.68E+10 1.60E-02 6.89E+33 1.96E+06 5.38E+13 2.05E-01 6.58E+00 3.00E-07 r  4.5
  5.77E+10 1.37E-02 6.89E+33 1.87E+06 4.40E+13 1.75E-01 6.73E+00 1.76E-07 r  4.5
  5.85E+10 1.18E-02 6.89E+33 1.79E+06 3.59E+13 1.50E-01 6.90E+00 1.02E-07 r  4.5
  5.94E+10 1.00E-02 6.89E+33 1.71E+06 2.91E+13 1.27E-01 7.07E+00 5.79E-08 r  4.5
  5.95E+10 9.85E-03 6.89E+33 1.70E+06 2.85E+13 1.25E-01 7.09E+00 5.47E-08 r  4.5
  5.96E+10 9.69E-03 6.89E+33 1.69E+06 2.79E+13 1.23E-01 7.11E+00 5.17E-08 r  4.5
  5.97E+10 9.53E-03 6.89E+33 1.69E+06 2.73E+13 1.21E-01 7.12E+00 4.88E-08 r  4.5
  5.98E+10 9.38E-03 6.89E+33 1.68E+06 2.68E+13 1.19E-01 7.14E+00 4.60E-08 r  4.5
  5.98E+10 9.22E-03 6.89E+33 1.67E+06 2.62E+13 1.17E-01 7.16E+00 4.34E-08 r  4.5
  5.99E+10 9.07E-03 6.89E+33 1.66E+06 2.57E+13 1.15E-01 7.18E+00 4.10E-08 r  4.5
  6.00E+10 8.92E-03 6.89E+33 1.66E+06 2.51E+13 1.13E-01 7.20E+00 3.86E-08 r  4.5
  6.01E+10 8.77E-03 6.89E+33 1.65E+06 2.46E+13 1.11E-01 7.21E+00 3.64E-08 r  4.5
  6.02E+10 8.63E-03 6.89E+33 1.64E+06 2.41E+13 1.10E-01 7.23E+00 3.44E-08 r  4.5
  6.03E+10 8.49E-03 6.89E+33 1.63E+06 2.36E+13 1.08E-01 7.25E+00 3.24E-08 r  4.5
  6.04E+10 8.34E-03 6.89E+33 1.62E+06 2.31E+13 1.06E-01 7.27E+00 3.05E-08 r  4.5
  6.04E+10 8.20E-03 6.89E+33 1.62E+06 2.26E+13 1.04E-01 7.29E+00 2.88E-08 r  4.5
  6.05E+10 8.07E-03 6.89E+33 1.61E+06 2.21E+13 1.02E-01 7.31E+00 2.71E-08 r  4.5
  6.06E+10 7.93E-03 6.89E+33 1.60E+06 2.16E+13 1.01E-01 7.32E+00 2.55E-08 r  4.5
  6.07E+10 7.80E-03 6.89E+33 1.59E+06 2.11E+13 9.90E-02 7.34E+00 2.41E-08 r  4.5
  6.08E+10 7.67E-03 6.89E+33 1.59E+06 2.07E+13 9.74E-02 7.36E+00 2.26E-08 r  4.5
  6.09E+10 7.54E-03 6.89E+33 1.58E+06 2.02E+13 9.57E-02 7.38E+00 2.13E-08 r  4.5
  6.10E+10 7.41E-03 6.89E+33 1.57E+06 1.98E+13 9.41E-02 7.40E+00 2.01E-08 r  4.5
  6.11E+10 7.28E-03 6.89E+33 1.56E+06 1.94E+13 9.25E-02 7.42E+00 1.89E-08 r  4.5
  6.11E+10 7.16E-03 6.89E+33 1.56E+06 1.90E+13 9.10E-02 7.44E+00 1.78E-08 r  4.5
  6.12E+10 7.03E-03 6.89E+33 1.55E+06 1.86E+13 8.94E-02 7.46E+00 1.67E-08 r  4.5
  6.13E+10 6.91E-03 6.89E+33 1.54E+06 1.81E+13 8.79E-02 7.48E+00 1.57E-08 r  4.5
  6.14E+10 6.79E-03 6.89E+33 1.53E+06 1.78E+13 8.64E-02 7.50E+00 1.48E-08 r  4.5
  6.15E+10 6.68E-03 6.89E+33 1.53E+06 1.74E+13 8.50E-02 7.52E+00 1.39E-08 r  4.5
  6.16E+10 6.56E-03 6.89E+33 1.52E+06 1.70E+13 8.35E-02 7.54E+00 1.31E-08 r  4.5
  6.17E+10 6.45E-03 6.89E+33 1.51E+06 1.66E+13 8.21E-02 7.56E+00 1.23E-08 r  4.5
  6.17E+10 6.33E-03 6.89E+33 1.50E+06 1.62E+13 8.07E-02 7.58E+00 1.15E-08 r  4.5
  6.18E+10 6.22E-03 6.89E+33 1.50E+06 1.59E+13 7.93E-02 7.59E+00 1.08E-08 r  4.5
  6.19E+10 6.11E-03 6.89E+33 1.49E+06 1.55E+13 7.79E-02 7.62E+00 1.02E-08 r  4.5
  6.20E+10 6.00E-03 6.89E+33 1.48E+06 1.52E+13 7.66E-02 7.64E+00 9.55E-09 r  4.5
  6.21E+10 5.90E-03 6.89E+33 1.47E+06 1.49E+13 7.52E-02 7.66E+00 8.97E-09 r  4.5
  6.22E+10 5.79E-03 6.89E+33 1.47E+06 1.45E+13 7.39E-02 7.68E+00 8.42E-09 r  4.5
  6.23E+10 5.69E-03 6.89E+33 1.46E+06 1.42E+13 7.26E-02 7.70E+00 7.90E-09 r  4.5
